cycle,effective_error,trim_word,sign_pos,sign_neg
0,12,0,1,0
1,12,0,1,0
2,12,0,1,0
3,12,0,1,0
4,12,0,1,0
5,12,0,1,0
6,12,0,1,0
7,12,0,1,0
8,12,0,1,0
9,12,0,1,0
10,12,0,1,0
11,12,0,1,0
12,12,0,1,0
13,12,0,1,0
14,12,0,1,0
15,12,0,1,0
16,12,0,1,0
17,12,0,1,0
18,12,0,1,0
19,12,0,1,0
20,12,0,1,0
21,12,0,1,0
22,12,0,1,0
23,12,0,1,0
24,12,0,1,0
25,12,0,1,0
26,12,0,1,0
27,12,0,1,0
28,12,0,1,0
29,12,0,1,0
30,12,0,1,0
31,11,1,1,0
32,11,1,1,0
33,11,1,1,0
34,11,1,1,0
35,11,1,1,0
36,11,1,1,0
37,11,1,1,0
38,11,1,1,0
39,11,1,1,0
40,11,1,1,0
41,11,1,1,0
42,11,1,1,0
43,11,1,1,0
44,11,1,1,0
45,11,1,1,0
46,11,1,1,0
47,11,1,1,0
48,11,1,1,0
49,11,1,1,0
50,11,1,1,0
51,11,1,1,0
52,11,1,1,0
53,11,1,1,0
54,11,1,1,0
55,11,1,1,0
56,11,1,1,0
57,11,1,1,0
58,11,1,1,0
59,11,1,1,0
60,11,1,1,0
61,11,1,1,0
62,10,2,1,0
63,10,2,1,0
64,10,2,1,0
65,10,2,1,0
66,10,2,1,0
67,10,2,1,0
68,10,2,1,0
69,10,2,1,0
70,10,2,1,0
71,10,2,1,0
72,10,2,1,0
73,10,2,1,0
74,10,2,1,0
75,10,2,1,0
76,10,2,1,0
77,10,2,1,0
78,10,2,1,0
79,10,2,1,0
80,10,2,1,0
81,10,2,1,0
82,10,2,1,0
83,10,2,1,0
84,10,2,1,0
85,10,2,1,0
86,10,2,1,0
87,10,2,1,0
88,10,2,1,0
89,10,2,1,0
90,10,2,1,0
91,10,2,1,0
92,10,2,1,0
93,9,3,1,0
94,9,3,1,0
95,9,3,1,0
96,9,3,1,0
97,9,3,1,0
98,9,3,1,0
99,9,3,1,0
